model = BaggingRegressor(n_estimators=q)
q c a smape
7 1 1 0.480061246793
7 1 2 0.454597360526
7 1 3 0.478964219613
7 1 4 0.493134334988
7 1 5 0.498298185877
7 1 6 0.5860237252
7 1 7 0.501217602166
7 1 8 0.55775011667
7 1 9 0.537862824128
7 2 1 0.399341009292
7 2 2 0.405259819507
7 2 3 0.396519739955
7 2 4 0.408861505802
7 2 5 0.44263011826
7 2 6 0.406258913509
7 2 7 0.454311476329
7 2 8 0.428733424652
7 2 9 0.432304879832
7 3 1 0.39001372344
7 3 2 0.391767686125
7 3 3 0.383137121594
7 3 4 0.405954271298
7 3 5 0.444692021896
7 3 6 0.390691145245
7 3 7 0.400856972889
7 3 8 0.390659487784
7 3 9 0.402596727316
7 4 1 0.430338384741
7 4 2 0.403985793872
7 4 3 0.388788877166
7 4 4 0.365534770524
7 4 5 0.381512599716
7 4 6 0.376608407126
7 4 7 0.362583867641
7 4 8 0.373581806535
7 4 9 0.371740504234
7 5 1 0.356103901589
7 5 2 0.350995505382
7 5 3 0.366771132763
7 5 4 0.345309141832
7 5 5 0.346193002819
7 5 6 0.351294945444
7 5 7 0.351626826663
7 5 8 0.350699711128
7 5 9 0.352495344439
7 6 1 0.342112804838
7 6 2 0.338793825207
7 6 3 0.340741380673
7 6 4 0.333326862607
7 6 5 0.327665167968
7 6 6 0.329921881107
7 6 7 0.327952558732
7 6 8 0.33662139892
7 6 9 0.326027585052
7 7 1 0.342375086249
7 7 2 0.342611476417
7 7 3 0.332682365021
7 7 4 0.32859467704
7 7 5 0.327582346752
7 7 6 0.327995396379
7 7 7 0.326606873321
7 7 8 0.327206688973
7 7 9 0.324809757355
7 8 1 0.368876600752
7 8 2 0.327615375463
7 8 3 0.339682719635
7 8 4 0.350348162845
7 8 5 0.337281522134
7 8 6 0.326249260075
7 8 7 0.326282615236
7 8 8 0.337300207103
7 8 9 0.332045963806
7 9 1 0.353758345611
7 9 2 0.325542221799
7 9 3 0.341596307517
7 9 4 0.323717465503
7 9 5 0.335185636487
7 9 6 0.322569509704
